SAMPID	TISSUE_ABBRV	TISSUE_NAME
NA11930	LCL	Cells_EBV-transformed_lymphocytes
NA11931	LCL	Cells_EBV-transformed_lymphocytes
NA11992	LCL	Cells_EBV-transformed_lymphocytes
NA11994	LCL	Cells_EBV-transformed_lymphocytes
NA11995	LCL	Cells_EBV-transformed_lymphocytes
NA12004	LCL	Cells_EBV-transformed_lymphocytes
NA12005	LCL	Cells_EBV-transformed_lymphocytes
NA12006	LCL	Cells_EBV-transformed_lymphocytes
NA12043	LCL	Cells_EBV-transformed_lymphocytes
NA12044	LCL	Cells_EBV-transformed_lymphocytes
NA12045	LCL	Cells_EBV-transformed_lymphocytes
NA12058	LCL	Cells_EBV-transformed_lymphocytes
NA12144	LCL	Cells_EBV-transformed_lymphocytes
NA12154	LCL	Cells_EBV-transformed_lymphocytes
NA12155	LCL	Cells_EBV-transformed_lymphocytes
NA12156	LCL	Cells_EBV-transformed_lymphocytes
NA12234	LCL	Cells_EBV-transformed_lymphocytes
NA12249	LCL	Cells_EBV-transformed_lymphocytes
NA12272	LCL	Cells_EBV-transformed_lymphocytes
NA12273	LCL	Cells_EBV-transformed_lymphocytes
NA12275	LCL	Cells_EBV-transformed_lymphocytes
NA12282	LCL	Cells_EBV-transformed_lymphocytes
NA12283	LCL	Cells_EBV-transformed_lymphocytes
NA12286	LCL	Cells_EBV-transformed_lymphocytes
NA12287	LCL	Cells_EBV-transformed_lymphocytes
NA12340	LCL	Cells_EBV-transformed_lymphocytes
NA12341	LCL	Cells_EBV-transformed_lymphocytes
NA12342	LCL	Cells_EBV-transformed_lymphocytes
NA12347	LCL	Cells_EBV-transformed_lymphocytes
NA12348	LCL	Cells_EBV-transformed_lymphocytes
NA12383	LCL	Cells_EBV-transformed_lymphocytes
NA12399	LCL	Cells_EBV-transformed_lymphocytes
NA12400	LCL	Cells_EBV-transformed_lymphocytes
NA12413	LCL	Cells_EBV-transformed_lymphocytes
NA12489	LCL	Cells_EBV-transformed_lymphocytes
NA12546	LCL	Cells_EBV-transformed_lymphocytes
NA12716	LCL	Cells_EBV-transformed_lymphocytes
NA12717	LCL	Cells_EBV-transformed_lymphocytes
NA12718	LCL	Cells_EBV-transformed_lymphocytes
NA12749	LCL	Cells_EBV-transformed_lymphocytes
NA12750	LCL	Cells_EBV-transformed_lymphocytes
NA12751	LCL	Cells_EBV-transformed_lymphocytes
NA12760	LCL	Cells_EBV-transformed_lymphocytes
NA12761	LCL	Cells_EBV-transformed_lymphocytes
NA12762	LCL	Cells_EBV-transformed_lymphocytes
NA12763	LCL	Cells_EBV-transformed_lymphocytes
NA12775	LCL	Cells_EBV-transformed_lymphocytes
NA12776	LCL	Cells_EBV-transformed_lymphocytes
NA12777	LCL	Cells_EBV-transformed_lymphocytes
NA12778	LCL	Cells_EBV-transformed_lymphocytes
NA12812	LCL	Cells_EBV-transformed_lymphocytes
NA12813	LCL	Cells_EBV-transformed_lymphocytes
NA12814	LCL	Cells_EBV-transformed_lymphocytes
NA12815	LCL	Cells_EBV-transformed_lymphocytes
NA12827	LCL	Cells_EBV-transformed_lymphocytes
NA12829	LCL	Cells_EBV-transformed_lymphocytes
NA12830	LCL	Cells_EBV-transformed_lymphocytes
NA12842	LCL	Cells_EBV-transformed_lymphocytes
NA12843	LCL	Cells_EBV-transformed_lymphocytes
NA12872	LCL	Cells_EBV-transformed_lymphocytes
NA12873	LCL	Cells_EBV-transformed_lymphocytes
NA12874	LCL	Cells_EBV-transformed_lymphocytes
NA12889	LCL	Cells_EBV-transformed_lymphocytes
NA12890	LCL	Cells_EBV-transformed_lymphocytes
NA18486	LCL	Cells_EBV-transformed_lymphocytes
NA18488	LCL	Cells_EBV-transformed_lymphocytes
NA18489	LCL	Cells_EBV-transformed_lymphocytes
NA18498	LCL	Cells_EBV-transformed_lymphocytes
NA18499	LCL	Cells_EBV-transformed_lymphocytes
NA18502	LCL	Cells_EBV-transformed_lymphocytes
NA18505	LCL	Cells_EBV-transformed_lymphocytes
NA18508	LCL	Cells_EBV-transformed_lymphocytes
NA18510	LCL	Cells_EBV-transformed_lymphocytes
NA18511	LCL	Cells_EBV-transformed_lymphocytes
NA18517	LCL	Cells_EBV-transformed_lymphocytes
NA18519	LCL	Cells_EBV-transformed_lymphocytes
NA18520	LCL	Cells_EBV-transformed_lymphocytes
NA18858	LCL	Cells_EBV-transformed_lymphocytes
NA18861	LCL	Cells_EBV-transformed_lymphocytes
NA18867	LCL	Cells_EBV-transformed_lymphocytes
NA18868	LCL	Cells_EBV-transformed_lymphocytes
NA18870	LCL	Cells_EBV-transformed_lymphocytes
NA18873	LCL	Cells_EBV-transformed_lymphocytes
NA18907	LCL	Cells_EBV-transformed_lymphocytes
NA18908	LCL	Cells_EBV-transformed_lymphocytes
NA18909	LCL	Cells_EBV-transformed_lymphocytes
NA18910	LCL	Cells_EBV-transformed_lymphocytes
NA18912	LCL	Cells_EBV-transformed_lymphocytes
NA18916	LCL	Cells_EBV-transformed_lymphocytes
NA18917	LCL	Cells_EBV-transformed_lymphocytes
NA18923	LCL	Cells_EBV-transformed_lymphocytes
NA18933	LCL	Cells_EBV-transformed_lymphocytes
NA18934	LCL	Cells_EBV-transformed_lymphocytes
NA19092	LCL	Cells_EBV-transformed_lymphocytes
NA19093	LCL	Cells_EBV-transformed_lymphocytes
NA19095	LCL	Cells_EBV-transformed_lymphocytes
NA19096	LCL	Cells_EBV-transformed_lymphocytes
NA19098	LCL	Cells_EBV-transformed_lymphocytes
NA19099	LCL	Cells_EBV-transformed_lymphocytes
NA19102	LCL	Cells_EBV-transformed_lymphocytes
NA19107	LCL	Cells_EBV-transformed_lymphocytes
NA19108	LCL	Cells_EBV-transformed_lymphocytes
NA19113	LCL	Cells_EBV-transformed_lymphocytes
NA19114	LCL	Cells_EBV-transformed_lymphocytes
NA19116	LCL	Cells_EBV-transformed_lymphocytes
NA19117	LCL	Cells_EBV-transformed_lymphocytes
NA19118	LCL	Cells_EBV-transformed_lymphocytes
NA19119	LCL	Cells_EBV-transformed_lymphocytes
